agr,,"Agricultura e pecuária","Agricultura e pecuária",1
agr.ass,agr,"Assessoria e pesquisa","Assessoria e pesquisa",1
agr.equ,agr,Equipamentos,Equipamentos,1
agr.est,agr,"Estabelecimentos e produtos","Estabelecimentos e produtos",1
ani,,Animais,Animais,1
ani.ade,ani,Adestramento,Adestramento,1
ani.aqu,ani,Aquário,Aquário,1
ani.can,ani,Canil,Canil,1
ani.har,ani,Haras,Haras,1
ani.hot,ani,"Hotel e Spa Animal","Hotel e Spa Animal",1
ani.pet,ani,"Pet Shop","Pet Shop",1
ani.vet,ani,Veterinário,Veterinário,1
art,,"Arte e diversão","Arte e diversão",1
art.ate,art,Atelie,Atelie,1
art.cas,art,"Casa de Shows","Casa de Shows",1
art.cin,art,Cinema,Cinema,1
art.clu,art,Clubes,Clubes,1
art.fli,art,Fliperama,Fliperama,1
art.gal,art,"Galeria de Arte","Galeria de Arte",1
art.pa1,art,"Parque Temático","Parque Temático",1
art.par,art,"Parque Aquático","Parque Aquático",1
art.tea,art,Teatro,Teatro,1
art.zoo,art,Zoológico,Zoológico,1
bar,,"Bares e restaurantes","Bares e restaurantes",1
bar.bar,bar,Bares,Bares,1
bar.bar.bot,bar.bar,Botecos,Botecos,1
bar.bar.esp,bar.bar,Esportivo,Esportivo,1
bar.bar.kar,bar.bar,Karaokê,Karaokê,1
bar.bar.pub,bar.bar,Pub,Pub,1
bar.bar.sin,bar.bar,Sinuca,Sinuca,1
bar.res,bar,Restaurantes,Restaurantes,1
bar.res.ale,bar.res,Alemão,Alemão,1
bar.res.ame,bar.res,Americano,Americano,1
bar.res.ara,bar.res,Árabe,Árabe,1
bar.res.arg,bar.res,Argentino,Argentino,1
bar.res.asi,bar.res,Asiático,Asiático,1
bar.res.aus,bar.res,Australiano,Australiano,1
bar.res.bra,bar.res,Brasileiro,Brasileiro,1
bar.res.ch1,bar.res,Chinês,Chinês,1
bar.res.chi,bar.res,Chileno,Chileno,1
bar.res.chu,bar.res,Churrascaria,Churrascaria,1
bar.res.con,bar.res,Contemporâneo,Contemporâneo,1
bar.res.cor,bar.res,Coreano,Coreano,1
bar.res.esp,bar.res,Espanhol,Espanhol,1
bar.res.fra,bar.res,Francês,Francês,1
bar.res.ind,bar.res,Indiano,Indiano,1
bar.res.ita,bar.res,Italiano,Italiano,1
bar.res.jap,bar.res,Japonês,Japonês,1
bar.res.med,bar.res,Mediterrâneo,Mediterrâneo,1
bar.res.mex,bar.res,Mexicano,Mexicano,1
bar.res.pei,bar.res,"Peixe e Frutos do Mar","Peixe e Frutos do Mar",1
bar.res.piz,bar.res,Pizzaria,Pizzaria,1
bar.res.por,bar.res,Português,Português,1
bar.res.sui,bar.res,Suíço,Suíço,1
bar.res.tai,bar.res,Tailandês,Tailandês,1
bar.res.veg,bar.res,"Vegetariano e Vegano","Vegetariano e Vegano",1
cas,,"Casa e construção","Casa e construção",1
cas.ban,cas,"Banheiro e Lavatório","Banheiro e Lavatório",1
cas.cac,cas,Caçamba,Caçamba,1
cas.cem,cas,"Cemitério de Azulejos","Cemitério de Azulejos",1
cas.cli,cas,Climatização,Climatização,1
cas.des,cas,"Design de Interiores","Design de Interiores",1
cas.ele,cas,"Elétrica e Iluminação","Elétrica e Iluminação",1
cas.emp,cas,Empreiteira,Empreiteira,1
cas.esq,cas,Esquadrias,Esquadrias,1
cas.fer,cas,"Ferramentas e Ferragem","Ferramentas e Ferragem",1
cas.ges,cas,Gesso,Gesso,1
cas.hid,cas,Hidráulica,Hidráulica,1
cas.ja1,cas,"Jardinagem e paisagismo","Jardinagem e paisagismo",1
cas.jar,cas,Jardinagem,Jardinagem,1
cas.lar,cas,Lareiras,Lareiras,1
cas.ma1,cas,"Marido de Aluguel","Marido de Aluguel",1
cas.ma2,cas,Marmoraria,Marmoraria,1
cas.mar,cas,Marcenaria,Marcenaria,1
cas.mat,cas,"Materiais de Construção","Materiais de Construção",1
cas.ped,cas,Pedreiro,Pedreiro,1
cas.pi1,cas,Piscinas,Piscinas,1
cas.pin,cas,Pintor,Pintor,1
cas.pis,cas,"Piso e Revestimento","Piso e Revestimento",1
cas.por,cas,"Porta e Janela","Porta e Janela",1
cas.seg,cas,Segurança,Segurança,1
cas.ser,cas,Serralheiro,Serralheiro,1
cas.tap,cas,Tapeçaria,Tapeçaria,1
cas.tel,cas,Tela,Tela,1
cas.tol,cas,"Toldo e Telha","Toldo e Telha",1
cas.vid,cas,Vidraçaria,Vidraçaria,1
com,,"Comida e bebida","Comida e bebida",1
com.buf,com,"Buffet a Quilo","Buffet a Quilo",1
com.caf,com,"Café e Coffee Shop","Café e Coffee Shop",1
com.cha,com,Chá,Chá,1
com.cup,com,Cupcakeria,Cupcakeria,1
com.doc,com,Doceria,Doceria,1
com.doc.fab,com.doc,Fabrica,Fabrica,1
com.doc.loj,com.doc,Loja,Loja,1
com.far,com,"Farinhas e massas","Farinhas e massas",1
com.lan,com,Lanchonete,Lanchonete,1
com.pad,com,Padaria,Padaria,1
com.sal,com,Salgados,Salgados,1
com.sor,com,Sorveteria,Sorveteria,1
com.suc,com,"Suco Natural","Suco Natural",1
edu,,Educação,Educação,1
edu.ber,edu,Berçário,Berçário,1
edu.cre,edu,Creche,Creche,1
edu.cu1,edu,"Curso Profissionalizante","Curso Profissionalizante",1
edu.cu2,edu,"Curso de Informática","Curso de Informática",1
edu.cur,edu,Cursinhos,Cursinhos,1
